"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test transaction estimate with multiple arguments","379","testTransactionEstimateWithMultipleArgs","Surefire suite","Tue Nov 04 10:44:44 IST 2025","passed","Tue Nov 04 10:44:44 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithMultipleArgs"
"Deploy Contract with special characters in constructor args - Edge Case","26024","deployContractWithSpecialCharacters","Surefire suite","Tue Nov 04 10:43:39 IST 2025","passed","Tue Nov 04 10:44:05 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithSpecialCharacters"
"Validate get price response structure and data types","340","validateGetPriceResponseStructure","Surefire suite","Tue Nov 04 10:44:57 IST 2025","passed","Tue Nov 04 10:44:57 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","validateGetPriceResponseStructure"
"Test transaction estimate with invalid contract address","99","testTransactionEstimateWithInvalidContractAddress","Surefire suite","Tue Nov 04 10:44:46 IST 2025","passed","Tue Nov 04 10:44:46 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithInvalidContractAddress"
"Deploy Contract with large constructor arguments - Edge Case","24891","deployContractWithLargeConstructorArgs","Surefire suite","Tue Nov 04 10:43:14 IST 2025","passed","Tue Nov 04 10:43:39 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithLargeConstructorArgs"
"Get price with invalid contract address - Negative Test","390","getPriceWithInvalidContractAddress","Surefire suite","Tue Nov 04 10:44:55 IST 2025","passed","Tue Nov 04 10:44:55 IST 2025","in.mai.yourproject.testsuite.GetPrice","Surefire test","in.mai.yourproject.testsuite.GetPrice","getPriceWithInvalidContractAddress"
"Data driven test for valid contract addresses","359","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:34 IST 2025","passed","Tue Nov 04 10:44:34 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Data driven test for invalid contract addresses","327","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:37 IST 2025","passed","Tue Nov 04 10:44:37 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Deploy Contract with 2 constructor arguments - Positive Test","25836","deployContractWithTwoArgs","Surefire suite","Tue Nov 04 10:41:32 IST 2025","passed","Tue Nov 04 10:41:58 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithTwoArgs"
"Data driven test for invalid contract addresses","339","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:35 IST 2025","passed","Tue Nov 04 10:44:35 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
"Test transaction estimate with large string arguments","1084","testTransactionEstimateWithLargeStringArgs","Surefire suite","Tue Nov 04 10:44:50 IST 2025","passed","Tue Nov 04 10:44:52 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithLargeStringArgs"
"Data driven test for valid contract addresses","0","getPriceWithValidAddresses","Surefire suite","Tue Nov 04 10:44:34 IST 2025","broken","Tue Nov 04 10:44:34 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithValidAddresses"
"Deploy Contract with invalid bytecode - Negative Test (Expected 500)","391","deployContractWithInvalidBytecode","Surefire suite","Tue Nov 04 10:42:22 IST 2025","passed","Tue Nov 04 10:42:23 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithInvalidBytecode"
"Deploy Contract with negative chain ID - Edge Case (Expected 500)","1070","deployContractWithNegativeChainId","Surefire suite","Tue Nov 04 10:44:28 IST 2025","passed","Tue Nov 04 10:44:29 IST 2025","in.mai.yourproject.testsuite.DeployContract","Surefire test","in.mai.yourproject.testsuite.DeployContract","deployContractWithNegativeChainId"
"Test transaction estimate with valid parameters - 2 arguments","1927","testTransactionEstimateWithValidParams","Surefire suite","Tue Nov 04 10:44:40 IST 2025","passed","Tue Nov 04 10:44:42 IST 2025","in.mai.yourproject.testsuite.TransactionEstimate","Surefire test","in.mai.yourproject.testsuite.TransactionEstimate","testTransactionEstimateWithValidParams"
"Data driven test for invalid contract addresses","678","getPriceWithInvalidAddresses","Surefire suite","Tue Nov 04 10:44:36 IST 2025","passed","Tue Nov 04 10:44:37 IST 2025","in.mai.yourproject.testsuite.GetPriceDataProvider","Surefire test","in.mai.yourproject.testsuite.GetPriceDataProvider","getPriceWithInvalidAddresses"
